Name,Parameter,New Applink (https://perawallet.app/qr/perawallet/app/) - New Deeplink (perawallet://app/),"Old Applink (https://perawallet.app/qr/perawallet/) - Old Deeplink (""algorand://"", ""perawallet://"", ""wc://"", ""perawallet-wc://"")",Android Valid Since ,iOS Destination,Android Destination,Old Deeplink Test,Old Deeplink QR,Old Applink Test,Old Applink QR,New Deeplink Test,New Deeplink QR,New Applink Test,New Applink QR,NOTE
Wallet Connect,uri*,wallet-connect/?uri=$URI,wc:$ID@1?bridge=$BRIDGE&key=$KEY,0,WCSessionConnectionScreen,MainActivity,wc:34e3389c-afef-47ea-8843-d88d63609e93@1?bridge=https%3A%2F%2Fwallet-connect-c.perawallet.app&key=9844b76265fad3b8e1b9af9e1ede8c56a192e6f029d02f47a31bed2c82f104d0,,wc:34e3389c-afef-47ea-8843-d88d63609e93@1?bridge=https%3A%2F%2Fwallet-connect-c.perawallet.app&key=9844b76265fad3b8e1b9af9e1ede8c56a192e6f029d02f47a31bed2c82f104d0,,perawallet://app/wallet-connect/?walletConnectUrl=d2M6YzM2NDRiYTEtYjNmZC00Nzk1LThlMmItNTAzNDNhN2E4MjlmQDE/YnJpZGdlPWh0dHBzJTNBJTJGJTJGd2FsbGV0LWNvbm5lY3QtZy5wZXJhd2FsbGV0LmFwcCZrZXk9YjNiYTA4Zjc3ZGU1Nzk1MWM5ZmUxOTg4MTRiMDhjYmIyMTU0ODBiYTA5MTNjYzAxYjU0YWYzOTFiZjI2NTk0OSZhbGdvcmFuZD10cnVl,,https://perawallet.app/qr/perawallet/app/wallet-connect/?walletConnectUrl=d2M6YzM2NDRiYTEtYjNmZC00Nzk1LThlMmItNTAzNDNhN2E4MjlmQDE/YnJpZGdlPWh0dHBzJTNBJTJGJTJGd2FsbGV0LWNvbm5lY3QtZy5wZXJhd2FsbGV0LmFwcCZrZXk9YjNiYTA4Zjc3ZGU1Nzk1MWM5ZmUxOTg4MTRiMDhjYmIyMTU0ODBiYTA5MTNjYzAxYjU0YWYzOTFiZjI2NTk0OSZhbGdvcmFuZD10cnVl,,
Asset Opt-in,"address, assetId*, notificationGroupType(asset/opt-in)",asset-opt-in/?address=$ADDRESS&assetId=$ASSET_ID,perawallet://?amount=0&asset=$ASSET_ID,0,AssetAdditionVC,AddAssetAccountSelectionFragment,perawallet://?amount=0&asset=31566704,,https://perawallet.app/qr/perawallet/?amount=0&asset=31566704,,perawallet://app/asset-opt-in/?assetId=31566704,,https://perawallet.app/qr/perawallet/app/asset-opt-in/?assetId=31566704,,
Asset Opt-in (with type),"address, assetId*, notificationGroupType(asset/opt-in)",asset-opt-in/?address=$ADDRESS&assetId=$ASSET_ID,perawallet://$ADDRESS&type=asset/opt-in&asset=$ASSET_ID,0,AssetAdditionVC,AddAssetAccountSelectionFragment,perawallet://asset/opt-in?asset=31566704&account=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/asset/opt-in?asset=31566704&account=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,perawallet://app/asset-opt-in/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&assetId=31566704,,https://perawallet.app/qr/perawallet/app/asset-opt-in/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&assetId=31566704,,Only available from notifications
Asset Transactions,"address*, assetId*, notificationGroupType(asset/transactions)",asset-detail/?address=$ADDRESS&assetId=$ASSET_ID,perawallet://$ADDRESS&type=asset/transactions&asset=$ASSET_ID,0,AssetDetailScreen,AssetDetailFragment,perawallet://asset/transactions?asset=31566704&account=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/asset/transactions?asset=31566704&account=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,perawallet://app/asset-detail/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&assetId=31566704,,https://perawallet.app/qr/perawallet/app/asset-detail/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&assetId=31566704,,Only available from notifications
Asset Inbox,"address*, notificationGroupType(asset-inbox)",asset-inbox/?address=$ADDRESS,perawallet://$ADDRESS&type=asset-inbox,0,IncomingASAAccountsVC,AssetInboxOneAccountFragment or AccountDetailFragment,perawallet://asset-inbox?account=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/asset-inbox?account=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,perawallet://app/asset-inbox/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/app/asset-inbox/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,Only available from notifications
Discover Browser,webUrl*,discover-browser/?url=$URL,perawallet://?url=$URL,0,DiscoverInAppBrowserScreen,DiscoverUrlViewerFragment,perawallet://?url=aHR0cHM6Ly93d3cuYWxnb2xhbmQuY28v,,https://perawallet.app/qr/perawallet/?url=aHR0cHM6Ly90aW55bWFuLm9yZy8=,,perawallet://app/discover-browser/?url=aHR0cHM6Ly90aW55bWFuLm9yZy8=,,https://perawallet.app/qr/perawallet/app/discover-browser/?url=aHR0cHM6Ly90aW55bWFuLm9yZy8=,,
Discover (with path),path,discover-path/?path=$PATH,perawallet://discover?path=$PATH,0,DiscoverHomeScreen,DiscoverHomeFragment,perawallet://discover?path=main/markets,,https://perawallet.app/qr/perawallet/discover?path=main/markets,,perawallet://app/discover-path/?path=main/markets,,https://perawallet.app/qr/perawallet/app/discover-path/?path=main/markets,,
Discover (without path),path,discover-path/?path=$PATH,perawallet://discover?path=$PATH,0,DiscoverHomeScreen,DiscoverHomeFragment,perawallet://discover,,https://perawallet.app/qr/perawallet/discover,,perawallet://app/discover-path,,https://perawallet.app/qr/perawallet/app/discover-path/,,
Cards,path*,cards-path/?path=$PATH,perawallet://cards?path=$PATH,0,CardsScreen,CardsFragment,perawallet://cards?path=onboarding/select-country,,https://perawallet.app/qr/perawallet/cards?path=onboarding/select-country,,perawallet://app/cards-path/?path=onboarding/select-country,,https://perawallet.app/qr/perawallet/app/cards-path/?path=onboarding/select-country,,
Staking,path*,staking-path/?path=$PATH,perawallet://staking?path=$PATH,0,StakingScreen,StakingFragment,perawallet://staking?path=test,,https://perawallet.app/qr/perawallet/staking?path=test,,perawallet://app/staking-path/?path=test,,https://perawallet.app/qr/perawallet/app/staking-path/?path=test,,
Undefined,,,,,Show Error,Show Error,perawallet://undefined,,https://perawallet.app/qr/perawallet/undefined,,perawallet://app/undefined,,https://perawallet.app/qr/perawallet/app/undefined,,Generic error message will be shown
Coinbase Asset Transfer,address*,algo:31566704/transfer?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,algo:31566704/transfer?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,0,,,algo:31566704/transfer?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,,,algo:31566704/transfer?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,,,This deeplink is under control of Coinbase. We can't play with the format. So we will continue to support the same format.
,,,,,,,,,,,,,,,
New Deeplinks,,,,,,,,,,,,,,,
Asset Detail,"address*, assetId*",asset-detail/?address=$ADDRESS&assetId=$ASSET_ID,-,v6202516,ASADetailScreen,AssetDetailFragment,-,-,,,perawallet://app/asset-detail/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&assetId=31566704,,https://perawallet.app/qr/perawallet/app/asset-detail/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&assetId=31566704,,
Swap,"assetId, assetInId, assetOutId",swap/?address=$ADDRESS&assetInId=$ASSET_IN_ID&assetOutId=$ASSET_OUT_ID,-,v6202516,ConfirmSwapScreen,SwapFragment,-,-,,,perawallet://app/swap/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&assetInId=0&assetOutId=31566704,,https://perawallet.app/qr/perawallet/app/swap/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&assetInId=0&assetOutId=31566704,,
Buy,address,buy/?address=$ADDRESS,-,v6202516,DappDetail or AccountSelection,MeldIntroFragment,-,-,,,perawallet://app/buy/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/app/buy/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,
Sell,address,sell/?address=$ADDRESS,-,v6202516,BidaliIntroductionScreen,BidaliIntroFragment,-,-,,,perawallet://app/sell/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/app/sell/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,
Account Detail,address*,account-detail/?address=$ADDRESS,-,v6202516,AccountDetailVC,AccountDetailFragment,-,-,,,perawallet://app/account-detail/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/app/account-detail/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,
Internal Browser,url*,internal-browser/?url=$URL,-,v6202516,,we,-,-,,,perawallet://app/internal-browser/?url=aHR0cHM6Ly9wZXJhd2FsbGV0LmFwcC8=,,https://perawallet.app/qr/perawallet/app/internal-browser/?url=aHR0cHM6Ly9wZXJhd2FsbGV0LmFwcC8=,,
Home (perawallet),,?any=$any,perawallet://?any=$any,v6202517,,HomeFragment,perawallet://?param1=hello&param2=yasin,,https://perawallet.app/qr/perawallet/?param1=hello&param2=yasin,,perawallet://app/?param1=hello&param2=yasin,,https://perawallet.app/qr/perawallet/app/?param1=hello&param2=yasin,,
Home (algorand),,?any=$any,algorand://?any=$any,v6202517,,HomeFragment,algorand://?param1=hello&param2=yasin,,https://perawallet.app/qr/perawallet/?param1=hello&param2=yasin,,perawallet://app/?param1=hello&param2=yasin,,https://perawallet.app/qr/perawallet/app/?param1=hello&param2=yasin,,
Home (wc),,?any=$any,wc://?any=$any,v6202517,,HomeFragment,wc://?param1=hello&param2=yasin,,https://perawallet.app/qr/perawallet/?param1=hello&param2=yasin,,perawallet://app/?param1=hello&param2=yasin,,https://perawallet.app/qr/perawallet/app/?param1=hello&param2=yasin,,
Home (perawallet-wc),,?any=$any,perawallet-wc://?any=$any,v6202517,,HomeFragment,perawallet-wc://?param1=hello&param2=yasin,,https://perawallet.app/qr/perawallet/?param1=hello&param2=yasin,,perawallet://app/?param1=hello&param2=yasin,,https://perawallet.app/qr/perawallet/app/?param1=hello&param2=yasin,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ADDRESS,5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,,,,,,,,,,,,,
RECEIVER_ACCOUNT_ADDRESS,Z73KQDNF5X3OPYUJNKH77CWZTHAYBKDUYRJELNMVFKWWYUJH2V2Y54W4CM,,,,,,,,,,,,,,
ALGO_ID,0,,,,,,,,,,,,,,
ASSET_ID,31566704,,,,,,,,,,,,,,
LABEL,HELLO%20WORLD%20LABEL,,,,,,,,,,,,,,
AMOUNT,99999,,,,,,,,,,,,,,
NOTE,HELLO%20WORLD%20NOTE,,,,,,,,,,,,,,
XNOTE,HELLO%20WORLD%20XNOTE,,,,,,,,,,,,,,
MNEMONIC,"twenty,effort,goddess,rabbit,help,main,behind,ankle,disease,often,define,fine,shy,excuse,segment,truth,canoe,bus,hammer,object,edge,scare,father,about,super",,,,,,,,,,,,,,
BACKUP_ID,c96f4523-cd44-4fb8-9418-52efc33191ac,,,,,,,,,,,,,,
ENCRYPTION_KEY,"140,20,240,110,205,146,175,35,55,117,112,217,146,152,138,174,174,46,116,95,144,166,150,212,224,227,114,215,39,165,35,50",,,,,,,,,,,,,,
WC_ID,34e3389c-afef-47ea-8843-d88d63609e93,,,,,,,,,,,,,,
